title,authors,image,description
Above All Things,Tanis Rideout,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-all-things2/9780771076367_cover/385481335-1-eng-CA/9780771076367_cover_coverbookpage_embed.jpg,"The Paris Wife meets Into Thin Air in this breathtaking novel of love and obsession, which tells the story of George Mallory’s legendary attempt to be the ..."
Above the Reich,David Chaundy-Smart,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/above-the-reich/9780991807673_cover/321293056-1-eng-CA/9780991807673_cover_coverbookpage_embed.jpg,"In the 1930s, a promising young alpinist from Munich struggles to stay above the fray and the base instincts of the valley that threaten to destroy all that he ..."
A Boy of Good Breeding,Miriam Toews,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-boy-of-good-breeding3/9780735274587_cover/412527614-1-eng-CA/9780735274587_cover_coverbookpage_embed.jpg,From the acclaimed Giller Prize Finalist and Governor General’s Award Winner: a delightfully funny and charming second novel about Canada’s smallest town. ...
A Breath of Snow and Ashes,Diana Gabaldon,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-breath-of-snow-and-ashes2/9780770427993_cover/89064963-1-eng-CA/9780770427993_cover_coverbookpage_embed.jpg,"Eagerly anticipated by her legions of fans, this sixth novel in Diana Gabaldon’s bestselling Outlander saga is a masterpiece of historical fiction from one ..."
A Brewski for the Old Man,Phyllis Smallman,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brewski-for-the-old-man/9781552788363_cover/93236939-1-eng-CA/9781552788363_cover_coverbookpage_embed.jpg,"In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ..."
A Brewski for the Old Man,Phyllis Smallman,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brewski-for-the-old-man2/9781552789100_cover/97355353-1-eng-CA/9781552789100_cover_coverbookpage_embed.jpg,"In the third Sherri Travis mystery, Phyllis Smallman returns to Jacaranda, Florida and the Sunset Bar. Ray John Leenders, the brutal man who tried to rape ..."
A Bride by Christmas,Jo Beverley,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bride-by-christmas/9780373773435_cover/419966175-1-eng-CA/9780373773435_cover_coverbookpage_embed.jpg,"Home for Christmas by Heather GrahamIt broke Travis's heart to see Isabelle go, but he was the Yankee captain who had commandeered her home and she was a ..."
A Bridge of Years,Robert Charles Wilson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-bridge-of-years/9780765327420_cover/422405057-1-eng-CA/9780765327420_cover_coverbookpage_embed.jpg,Tom Winter thought the secluded cottage in the Pacific Northwest would be the perfect refuge—a place to nurse the wounds of lost love and happiness. But Tom ...
A Brightness Long Ago,Guy Gavriel Kay,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brightness-long-ago/9780670068708_cover/398432264-1-eng-CA/9780670068708_cover_coverbookpage_embed.jpg,From the internationally bestselling author of Tigana and The Lions of Al-Rassan comes a masterful new novel set in a vivid world evoking early Renaissance ...
A Brightness Long Ago,Guy Gavriel Kay,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-brightness-long-ago2/9780143192633_cover/416913685-1-eng-CA/9780143192633_cover_coverbookpage_embed.jpg,Internationally bestselling author Guy Gavriel Kay's latest work is set in a world evoking early Renaissance Italy and offers an extraordinary cast of ...
Absolution,Patrick Flanery,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/absolution/9780307401281_cover/385325403-1-eng-CA/9780307401281_cover_coverbookpage_embed.jpg,"Told in shifting perspectives, Absolution revolves around the mysterious Clare Wald, a controversial writer and critic of great fame, now a recluse behind the ..."
Absolution,Patrick Flanery,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/absolution2/9780307401274_cover/172228349-1-eng-CA/9780307401274_cover_coverbookpage_embed.jpg,"In this stunning literary debut, Patrick Flanery delivers a devastating and intimate portrait of post-apartheid South Africa, and the perils of taking sides ..."
